Name,Checked,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,m/z,RT [min],Reference Ion,P-value: (KO) / (Control),Adj. P-value: (KO) / (Control),Area: YL-001.raw (F4),Area: YL-002.raw (F5),Area: YL-003.raw (F6),Area: YL-004.raw (F7),Area: YL-005.raw (F8),Area: YL-006.raw (F9),Area: YL-007.raw (F10),Area: YL-008.raw (F12),Area: YL-009.raw (F13),Area: YL-010.raw (F14),Area: QC-blank1.raw (F1),Area: QC-blank2.raw (F2),Area: QC-PB.raw (F3),Ratio: (KO) / (Control),Log2 Fold Change: (KO) / (Control),Area (Max.),# mzVault Results,mzVault Best Match,mzVault Library Match: mzCloud Offline for mzVault_Endogenous_2021B,mzVault Library Match: mzCloud_Offline for mzVault_Autoprocessed_2021B,mzVault Library Match: mzCloud_Offline for mzVault_Endogenous-Autoprocessed_2021B,mzVault Library Match: mzCloud_Offline for mzVault_Reference_2021B,mzVault Library Match: mzCloud Offline for mzVault 2.3_2020A,mzVault Library Match: mzCloud Offline for mzVault 2.3_DoA_2020A,mzVault Library Match: mzCloud Offline for mzVault 2.3_Omics_2020A,MS2,Mode,BestMatchScore,Log2FC,AbsLog2FC,EvidenceScore,Classification,Dedup rule used
S-methylglutathione,TRUE,C11 H19 N3 O6 S,Full match,No results,No results,No results,Full match,320.0926,15.569,[M-H]-1,0.005000213,0.056366499,229522.7938,500014.1819,597953.7674,2341711.042,2616592.159,4994841.329,14987514.25,13476644.06,6717389.175,6194725.327,209654.5709,172615.1818,176757.374,11.234,3.49,14987514.25,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,Negative,,3.49,3.49,60,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
Cystathionine,TRUE,C7 H14 N2 O4 S,Full match,Full match,Full match,Full match,Full match,223.07453,13.379,[M+H]+1,6.35248E-06,0.004015307,1228633.55,1337472.488,1096909.397,930452.8873,1038657.069,16609547.73,11186328.35,15955372.9,11163601.74,7930143.815,120685.8441,123855.133,122650.887,10.198,3.35,21212088.18,8,87.4,Multiple matches found,No matches found,No matches found,Multiple matches found,Multiple matches found,No matches found,Multiple matches found,DDA for preferred ion,Positive,87.4,3.35,3.35,237.4,Likely biological,Kept highest mzVault Best Match score
Tiglylcarnitine,TRUE,C12 H21 N O4,Full match,No results,No results,No results,Full match,244.1539,5.018,[M+H]+1,0.028301424,0.1770575,24471278.7,37209880.21,11103752.33,295171.2301,11355279.76,323281306.3,325970271.3,110687387,80577118.93,37636696.88,498405.1484,501528.4827,475767.9142,9.748,3.29,,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,,Positive,,3.29,3.29,60,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
Carbocysteine,TRUE,C5 H9 N O4 S,Full match,No results,No results,No results,Full match,180.03244,10.004,[M+H]+1,0.019262512,0.151735979,187034924.3,127086640.3,128062955.1,36740962.34,35452553.76,56920914.81,6226850.676,23273322.05,18677519.72,18611008.03,305745.6764,219776.0853,267137.1185,0.147,-2.77,,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,,Positive,,-2.77,2.77,60,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
"(2S,8R)-2-Amino-8-hydroxydecanoic acid",TRUE,C10 H21 N O3,Full match,Invalid mass,No results,No results,Full match,202.14514,6.54,[M-H]-1,0.005023752,0.056366499,474704.3114,1509076.024,215598.7839,623709.7521,380542.7007,7196873.579,3923257.876,996173.1381,3229590.357,2462630.519,75602.56897,64438.02853,60185.92006,6.803,2.77,7196873.579,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,Negative,,2.77,2.77,60,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
L-Glutathione (reduced),TRUE,C10 H17 N3 O6 S,Full match,Full match,Full match,Full match,Full match,308.09039,17.254,[M+H]+1,0.002142875,0.060462449,13740079.69,18473466.61,8178445.793,35272655.3,41730071.94,73150392.25,175544401,153044938.2,105907572.3,79709467.66,190494.3674,404097.5226,181420.0347,5.733,2.52,,4,79.5,Single match found,No matches found,No matches found,Single match found,Single match found,No matches found,Single match found,,Positive,79.5,2.52,2.52,229.5,Likely biological,Kept highest mzVault Best Match score
N-Acetyl-L-tyrosine,TRUE,C11 H13 N O4,No match,Invalid mass,No results,No results,No results,222.08072,7.88,[M-H]-1,0.040586136,0.173788001,61478036.33,57283955.88,111442941.1,11651821.76,14231570.83,23190469.56,2764166.837,10985136.21,7344904.131,12051729.27,102286.8722,110739.789,78401.6791,0.192,-2.38,111442941.1,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,DDA for preferred ion,Negative,,-2.38,2.38,0,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
3-Hydroxybutyric acid,TRUE,C4 H8 O3,Full match,Full match,Full match,No results,Full match,103.04017,6.544,[M-H]-1,0.002604222,0.039869105,16920653.61,34492202.14,9160128.666,20766472.14,17531769.36,126918323.3,88888636.54,29838180.28,80489008.87,74558881.62,1316305.06,1111146.65,869684.1961,4.591,2.2,126918323.3,4,91.6,Single match found,No matches found,No matches found,Single match found,Single match found,No matches found,Single match found,DDA for preferred ion,Negative,91.6,2.2,2.2,211.6,Likely biological,Kept highest mzVault Best Match score
3-hydroxytetradecanoylcarnitine,TRUE,C21 H41 N O5,Full match,No results,No results,No results,Not the top hit,388.30498,3.901,[M+H]+1,0.003792139,0.086677461,43831995.69,75083106.45,24868098.39,66943661.51,34833244.71,225911496.8,195581639.3,84330813.53,191375189.1,93304426.91,522282.3548,548464.1116,432423.9441,4.366,2.13,,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,,Positive,,2.13,2.13,35,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
(R)-3-hydroxybutyrylcarnitine,TRUE,C11 H21 N O5,Full match,No results,No results,No results,Full match,248.14878,6.551,[M+H]+1,0.007858329,0.117874934,1345352541,2787998861,754421177.6,2017130080,1357865591,6739587565,5933530331,1934347509,5802306358,4401371556,320466.2336,220529.3985,275126.9012,4.273,2.1,,0,,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,No matches found,,Positive,,2.1,2.1,60,Likely biological,No numeric MS2 score; kept highest evidence then largest |log2FC|
